type_a,type_b,mean_zscore
tumor,tumor,19.80
tumor,fibroblast,-9.16
tumor,cd8_t,3.57
tumor,helper_t,-4.93
tumor,b_cell,-7.52
tumor,macrophage,-0.40
fibroblast,tumor,-8.73
fibroblast,fibroblast,4.70
fibroblast,cd8_t,-2.52
fibroblast,helper_t,0.70
fibroblast,b_cell,-0.67
fibroblast,macrophage,0.76
cd8_t,tumor,3.76
cd8_t,fibroblast,-3.52
cd8_t,cd8_t,5.65
cd8_t,helper_t,1.42
cd8_t,b_cell,-6.43
cd8_t,macrophage,1.19
helper_t,tumor,-4.50
helper_t,fibroblast,0.34
helper_t,cd8_t,2.01
helper_t,helper_t,1.15
helper_t,b_cell,2.30
helper_t,macrophage,0.60
b_cell,tumor,-8.19
b_cell,fibroblast,-1.88
b_cell,cd8_t,-6.66
b_cell,helper_t,1.85
b_cell,b_cell,25.61
b_cell,macrophage,-3.01
macrophage,tumor,-0.16
macrophage,fibroblast,0.13
macrophage,cd8_t,1.76
macrophage,helper_t,0.05
macrophage,b_cell,-2.66
macrophage,macrophage,0.10
